employee_id,name,department,role_type,manager_id,salary,joining_date,region,performance_score,tenure_years,is_manager
1,Christina Ramos MD,Dept_41,Manager,,104592,2022-01-15,US,4.48,4.08,1
2,Joann Gonzalez,Dept_16,Manager,,119256,2019-08-20,EU,4.47,6.49,1
3,John Nelson,Dept_44,Manager,,161482,2023-04-13,US,4.18,2.84,1
4,Candace Morse,Dept_3,Manager,,93905,2023-08-21,US,3.44,2.48,1
5,Gerald Stephens III,Dept_33,Manager,,168907,2018-04-30,US,4.12,7.79,1
6,Patricia Rodriguez,Dept_46,Manager,,175181,2022-11-03,APAC,3.44,3.28,1
7,Candice Day,Dept_38,Manager,,126463,2018-10-19,US,4.52,7.32,1
8,Brett Mercado MD,Dept_11,Manager,,145392,2020-07-07,India,3.56,5.61,1
9,Tyler Allison,Dept_14,Manager,,134118,2021-12-20,US,3.19,4.15,1
10,Richard Ramirez,Dept_7,Manager,,137052,2018-07-25,India,4.21,7.56,1
11,Trevor Moody,Dept_3,Manager,,150217,2023-04-22,US,4.95,2.81,1
12,Catherine Benjamin,Dept_25,Manager,,100328,2019-04-23,India,4.66,6.81,1
13,Carl Sims,Dept_40,Manager,,137400,2019-04-07,EU,4.41,6.86,1
14,Morgan Chandler,Dept_3,Manager,,176673,2024-01-01,EU,4.55,2.12,1
15,Richard Cox,Dept_6,Manager,,120512,2018-03-25,US,3.76,7.89,1
16,Jeffrey Goodwin,Dept_30,Manager,,173320,2022-12-13,India,3.33,3.17,1
17,Michael Meadows,Dept_23,Manager,,117460,2021-01-05,India,4.4,5.11,1
18,Kevin Burton,Dept_44,Manager,,174939,2020-04-26,US,4.22,5.8,1
19,Mario Zimmerman,Dept_11,Manager,,160010,2018-05-23,EU,3.33,7.73,1
20,Allen Wood,Dept_25,Manager,,125382,2022-01-23,EU,4.37,4.06,1
21,Carrie Russell,Dept_50,Manager,,97331,2021-08-17,EU,4.64,4.49,1
22,Mrs. Alice Dillon,Dept_21,Manager,,142581,2023-07-30,India,3.13,2.54,1
23,Jeremy Lopez,Dept_37,Manager,,131245,2020-09-05,EU,4.31,5.44,1
24,Allison Anderson,Dept_26,Manager,,174259,2023-07-28,APAC,3.29,2.55,1
25,Miss Jessica Khan,Dept_9,Manager,,122325,2020-03-18,India,4.49,5.91,1
26,Kerry Smith,Dept_28,Manager,,166484,2019-02-14,APAC,3.72,7.0,1
27,Aaron Moody,Dept_9,Manager,,156784,2023-04-10,APAC,3.18,2.85,1
28,Natalie Green,Dept_4,Manager,,104371,2023-09-09,EU,4.25,2.43,1
29,Tracy Burton,Dept_44,Manager,,145333,2021-08-19,US,3.77,4.49,1
30,James Stone,Dept_39,Manager,,151348,2018-06-10,India,4.94,7.68,1
31,David Hinton,Dept_1,Manager,,179166,2021-11-29,US,4.36,4.21,1
32,Amanda Lyons,Dept_35,Manager,,124973,2020-01-06,India,3.22,6.11,1
33,Laura Blake,Dept_28,Manager,,110730,2020-05-06,APAC,3.01,5.78,1
34,Tanya Reyes,Dept_47,Manager,,124522,2020-06-18,EU,4.02,5.66,1
35,Paige Arnold,Dept_7,Manager,,171959,2018-07-12,India,4.68,7.59,1
36,Kayla Perry,Dept_33,Manager,,169818,2020-02-03,EU,3.31,6.03,1
37,Christopher Miller,Dept_49,Manager,,111174,2021-04-18,US,4.2,4.82,1
38,Christian Jones,Dept_32,Manager,,92552,2019-05-09,US,4.86,6.77,1
39,Dr. Cindy Goodwin,Dept_20,Manager,,121385,2022-05-27,US,3.48,3.72,1
40,Brandon Brown,Dept_37,Manager,,100322,2022-02-07,US,4.46,4.02,1
41,Andrew Myers,Dept_5,Manager,,159822,2023-01-03,EU,3.26,3.11,1
42,Christine Evans,Dept_31,Manager,,162063,2020-01-27,EU,3.53,6.05,1
43,Judy Barton,Dept_39,Manager,,145461,2019-03-15,EU,4.86,6.92,1
44,Mrs. Angela Small,Dept_49,Manager,,116365,2024-02-10,India,3.8,2.01,1
45,Bethany Campbell,Dept_43,Manager,,175180,2018-09-15,India,3.88,7.42,1
46,Alfred Wright,Dept_34,Manager,,149177,2021-10-18,US,3.5,4.32,1
