employee_id,name,department,role_type,manager_id,salary,joining_date,region,performance_score
1,Christina Ramos MD,Dept_41,Manager,,104592,2022-01-15,US,4.48
2,Joann Gonzalez,Dept_16,Manager,,119256,2019-08-20,EU,4.47
3,John Nelson,Dept_44,Manager,,161482,2023-04-13,US,4.18
4,Candace Morse,Dept_3,Manager,,93905,2023-08-21,US,3.44
5,Gerald Stephens III,Dept_33,Manager,,168907,2018-04-30,US,4.12
6,Patricia Rodriguez,Dept_46,Manager,,175181,2022-11-03,APAC,3.44
7,Candice Day,Dept_38,Manager,,126463,2018-10-19,US,4.52
8,Brett Mercado MD,Dept_11,Manager,,145392,2020-07-07,India,3.56
9,Tyler Allison,Dept_14,Manager,,134118,2021-12-20,US,3.19
10,Richard Ramirez,Dept_7,Manager,,137052,2018-07-25,India,4.21
11,Trevor Moody,Dept_3,Manager,,150217,2023-04-22,US,4.95
12,Catherine Benjamin,Dept_25,Manager,,100328,2019-04-23,India,4.66
13,Carl Sims,Dept_40,Manager,,137400,2019-04-07,EU,4.41
14,Morgan Chandler,Dept_3,Manager,,176673,2024-01-01,EU,4.55
15,Richard Cox,Dept_6,Manager,,120512,2018-03-25,US,3.76
16,Jeffrey Goodwin,Dept_30,Manager,,173320,2022-12-13,India,3.33
17,Michael Meadows,Dept_23,Manager,,117460,2021-01-05,India,4.4
18,Kevin Burton,Dept_44,Manager,,174939,2020-04-26,US,4.22
19,Mario Zimmerman,Dept_11,Manager,,160010,2018-05-23,EU,3.33
20,Allen Wood,Dept_25,Manager,,125382,2022-01-23,EU,4.37
21,Carrie Russell,Dept_50,Manager,,97331,2021-08-17,EU,4.64
22,Mrs. Alice Dillon,Dept_21,Manager,,142581,2023-07-30,India,3.13
23,Jeremy Lopez,Dept_37,Manager,,131245,2020-09-05,EU,4.31
24,Allison Anderson,Dept_26,Manager,,174259,2023-07-28,APAC,3.29
25,Miss Jessica Khan,Dept_9,Manager,,122325,2020-03-18,India,4.49
26,Kerry Smith,Dept_28,Manager,,166484,2019-02-14,APAC,3.72
27,Aaron Moody,Dept_9,Manager,,156784,2023-04-10,APAC,3.18
28,Natalie Green,Dept_4,Manager,,104371,2023-09-09,EU,4.25
29,Tracy Burton,Dept_44,Manager,,145333,2021-08-19,US,3.77
30,James Stone,Dept_39,Manager,,151348,2018-06-10,India,4.94
31,David Hinton,Dept_1,Manager,,179166,2021-11-29,US,4.36
32,Amanda Lyons,Dept_35,Manager,,124973,2020-01-06,India,3.22
33,Laura Blake,Dept_28,Manager,,110730,2020-05-06,APAC,3.01
34,Tanya Reyes,Dept_47,Manager,,124522,2020-06-18,EU,4.02
35,Paige Arnold,Dept_7,Manager,,171959,2018-07-12,India,4.68
36,Kayla Perry,Dept_33,Manager,,169818,2020-02-03,EU,3.31
37,Christopher Miller,Dept_49,Manager,,111174,2021-04-18,US,4.2
38,Christian Jones,Dept_32,Manager,,92552,2019-05-09,US,4.86
39,Dr. Cindy Goodwin,Dept_20,Manager,,121385,2022-05-27,US,3.48
40,Brandon Brown,Dept_37,Manager,,100322,2022-02-07,US,4.46
41,Andrew Myers,Dept_5,Manager,,159822,2023-01-03,EU,3.26
42,Christine Evans,Dept_31,Manager,,162063,2020-01-27,EU,3.53
43,Judy Barton,Dept_39,Manager,,145461,2019-03-15,EU,4.86
44,Mrs. Angela Small,Dept_49,Manager,,116365,2024-02-10,India,3.8
45,Bethany Campbell,Dept_43,Manager,,175180,2018-09-15,India,3.88
46,Alfred Wright,Dept_34,Manager,,149177,2021-10-18,US,3.5
47,Derek Dodson,Dept_5,Manager,,134313,2023-02-06,US,4.18
48,Jillian Parker,Dept_15,Manager,,167128,2022-02-02,EU,3.01
49,Anthony Smith,Dept_46,Manager,,172719,2018-10-05,US,3.46
50,Jessica Anderson,Dept_3,Manager,,133309,2023-05-25,US,4.03
51,Robert Sanchez,Dept_18,Manager,,177684,2024-02-06,APAC,3.43
52,Cameron Middleton,Dept_9,Manager,,164847,2021-09-09,APAC,3.49
53,Cheryl Ramsey,Dept_31,Manager,,143354,2022-02-22,EU,3.19
54,Russell Norris,Dept_43,Manager,,146498,2022-05-05,India,3.85
55,Anthony Morton,Dept_30,Manager,,97100,2021-05-14,US,3.12
56,Lisa Rodriguez,Dept_47,Manager,,134473,2020-06-12,US,3.5
57,Phillip Mcdaniel,Dept_13,Manager,,160292,2019-02-05,APAC,3.28
58,Renee Harrison,Dept_12,Manager,,126509,2021-04-13,APAC,3.5
59,Carol Kennedy,Dept_5,Manager,,148082,2021-05-14,US,3.1
60,Stephanie Schroeder,Dept_35,Manager,,91934,2023-04-21,US,4.85
61,Deanna Jones,Dept_16,Manager,,111798,2020-06-06,APAC,3.97
